key,execution,type,correctiveActions,mark,optionalLink,key:project,key:auditor
AUD-001,"1995/03/14 01:45",DINAMIC,"Enhance user authentication","A",http://example.com/code-audits-004,project-01,auditor-04
AUD-002,"2000/12/22 12:15",STATIC,"Optimize database queries","B",http://example.com/code-audits-005,project-02,auditor-05
AUD-003,"2006/07/04 17:30",DINAMIC,"Update encryption algorithms","C",http://example.com/code-audits-006,project-03,auditor-06
AUD-004,"2012/02/10 09:00",STATIC,"Implement logging mechanism","A",http://example.com/code-audits-007,project-04,auditor-07
AUD-005,"2017/09/23 14:30",DINAMIC,"Fix input validation issues","B",http://example.com/code-audits-008,project-05,auditor-08
AUD-006,"2023/04/03 20:45",STATIC,"Enhance error handling","C",http://example.com/code-audits-009,project-06,auditor-09
AUD-007,"2028/11/16 02:15",DINAMIC,"Optimize frontend performance","A",http://example.com/code-audits-010,project-07,auditor-10
AUD-008,"2034/06/28 19:45",STATIC,"Implement secure file uploads","B",http://example.com/code-audits-011,project-08,auditor-01
AUD-009,"2040/02/03 14:30",DINAMIC,"Update third-party libraries","C",http://example.com/code-audits-012,project-09,auditor-02
AUD-010,"2045/09/14 09:00",STATIC,"Fix SQL injection vulnerabilities","A",http://example.com/code-audits-013,project-10,auditor-03
